Job#,NumPageFaults,AvgWaitTime,AvgCompletionTime,AvgExecutionTime,IOTime,FaultServiceTotal,Data is in milliseconds (ms)
16,3,13,16,1,2,3,
14,4,18,22,0,4,4,
8,5,26,31,1,4,5,
30,5,30,35,1,4,6,
7,5,34,38,0,4,5,
21,5,34,39,1,4,5,
4,5,35,40,1,4,6,
26,4,39,43,1,3,4,
25,7,65,70,0,5,8,
1,10,76,84,0,8,14,
23,9,79,86,0,7,11,
11,10,90,98,0,8,14,
27,10,101,110,0,9,13,
20,9,138,145,0,7,10,
15,9,143,152,0,9,13,
9,9,146,154,0,8,11,
18,9,147,157,0,10,12,
24,9,159,168,0,9,10,
6,9,194,202,0,8,14,
3,9,192,203,0,11,11,
29,9,197,204,0,7,14,
13,9,202,210,0,8,10,
12,10,243,254,0,11,14,
22,10,251,261,0,10,14,
17,10,253,263,0,10,12,
10,10,275,283,0,8,15,
5,10,278,288,0,10,14,
19,9,299,305,0,6,12,
28,10,302,310,0,8,12,
2,10,307,314,0,7,14,

For All Jobs After running 1 iterations:
,,#Faults, AvgWait, AvgCompletion, AvgIOWait, AvgFaultService
,,8.066666666666666,146,153,7.1,10.333333333333334,
